year,gender,lead,correlation
1973,F,1,0.9397233201581028
1973,M,1,0.9930830039525691
1973,F,2,0.9246753246753248
1973,M,2,0.9812252964426876
1973,F,3,0.87203302373581
1973,M,3,0.9424054206662902
1974,F,1,0.9436758893280632
1974,M,1,0.99
1974,F,2,0.82556390977443606
1974,M,2,0.8913043478260869
1974,F,3,0.6285714285714286
1974,M,3,0.8794466403162055
1975,F,1,0.9376623376623378
1975,M,1,0.8965217391304348
1975,F,2,0.7844155844155843
1975,M,2,0.8764822134387352
1975,F,3,0.675187969924812
1975,M,3,0.8870694522868435
1976,F,1,0.9191304347826086
1976,M,1,0.9704347826086955
1976,F,2,0.8678260869565216
1976,M,2,0.9387351778656126
1976,F,3,0.8012422360248446
1976,M,3,0.8987012987012988
1977,F,1,0.9365217391304347
1977,M,1,0.977391304347826
1977,F,2,0.8893280632411067
1977,M,2,0.9469226425748164
1977,F,3,0.789949181253529
1977,M,3,0.9038961038961039
1978,F,1,0.9713438735177865
1978,M,1,0.9446640316205533
1978,F,2,0.9071146245059288
1978,M,2,0.9356295878035007
1978,F,3,0.7876905702992659
1978,M,3,0.8974025974025973
1979,F,1,0.9654150197628458
1979,M,1,0.9377470355731224
1979,F,2,0.8814229249011856
1979,M,2,0.8764822134387352
1979,F,3,0.7389610389610389
1979,M,3,0.8746470920383963
1980,F,1,0.9397233201581028
1980,M,1,0.9582608695652172
1980,F,2,0.8567193675889327
1980,M,2,0.9504347826086955
1980,F,3,0.8636363636363636
1980,M,3,0.9515810276679842
1981,F,1,0.9436758893280632
1981,M,1,0.9921739130434781
1981,F,2,0.9025974025974026
1981,M,2,0.9733201581027668
1981,F,3,0.82556390977443606
1981,M,3,0.9239130434782609
1982,F,1,0.8735177865612648
1982,M,1,0.983478260869565
1982,F,2,0.8125352907961602
1982,M,2,0.9452173913043477
1982,F,3,0.5935064935064935
1982,M,3,0.8913043478260869
1983,F,1,0.886086956521739
1983,M,1,0.9807692307692308
1983,F,2,0.7430830039525691
1983,M,2,0.9376923076923077
1983,F,3,0.7413890457368718
1983,M,3,0.863478260869565
1984,F,1,0.8478260869565216
1984,M,1,0.9784615384615385
1984,F,2,0.8290513833992094
1984,M,2,0.9278260869565216
1984,F,3,0.8705533596837945
1984,M,3,0.883478260869565
1985,F,1,0.8965217391304348
1985,M,1,0.977391304347826
1985,F,2,0.8617391304347826
1985,M,2,0.9217391304347825
1985,F,3,0.7413890457368718
1985,M,3,0.9179841897233202
1986,F,1,0.9260869565217389
1986,M,1,0.9660869565217389
1986,F,2,0.8369565217391305
1986,M,2,0.9436758893280632
1986,F,3,0.727837380011293
1986,M,3,0.9446640316205533
1987,F,1,0.9397233201581028
1987,M,1,0.9817391304347826
1987,F,2,0.8774703557312253
1987,M,2,0.977391304347826
1987,F,3,0.8283455674760022
1987,M,3,0.9604743083003952
1988,F,1,0.9599999999999999
1988,M,1,0.9843478260869564
1988,F,2,0.8557312252964427
1988,M,2,0.9627329192546583
1988,F,3,0.8155844155844155
1988,M,3,0.9259740259740259
1989,F,1,0.9382608695652173
1989,M,1,0.9802371541501976
1989,F,2,0.9085262563523432
1989,M,2,0.9424054206662902
1989,F,3,0.9181818181818182
1989,M,3,0.7831168831168831
1990,F,1,0.9634387351778656
1990,M,1,0.943478260869565
1990,F,2,0.9311123658949744
1990,M,2,0.7045454545454545
1990,F,3,0.8992481203007519
1990,M,3,0.5464426877470355
1991,F,1,0.9717673630717107
1991,M,1,0.8886956521739129
1991,F,2,0.9142857142857144
1991,M,2,0.7730434782608694
1991,F,3,0.843609022556391
1991,M,3,0.6808300395256917
1992,F,1,0.8725296442687747
1992,M,1,0.9492307692307692
1992,F,2,0.8246753246753247
1992,M,2,0.9165217391304347
1992,F,3,0.7849624060150375
1992,M,3,0.8643478260869565
1993,F,1,0.9486166007905138
1993,M,1,0.9808695652173911
1993,F,2,0.8102766798418971
1993,M,2,0.9504347826086955
1993,F,3,0.7022556390977444
1993,M,3,0.9436758893280632
1994,F,1,0.9052173913043476
1994,M,1,0.9495652173913043
1994,F,2,0.782044042913608
1994,M,2,0.9408695652173911
1994,F,3,0.6987012987012987
1994,M,3,0.9295652173913043
1995,F,1,0.9085262563523432
1995,M,1,0.9843478260869564
1995,F,2,0.8599661208356859
1995,M,2,0.977391304347826
1995,F,3,0.6962406015037594
1995,M,3,0.9591304347826086
1996,F,1,0.9209486166007906
1996,M,1,0.9915384615384616
1996,F,2,0.8023715415019762
1996,M,2,0.9860869565217389
1996,F,3,0.7571428571428571
1996,M,3,0.9347826086956522
1997,F,1,0.9278656126482213
