roaster,loc_country,n_coffees,avg_flavour,avg_rating,avg_price
Roast House,United States,3,0.6666666666666666,92.33333333333333,5.39
Roasters Note,Taiwan,1,0.75,94,6.51
Rooster Roastery,Hawai'i,1,0.6,84,11.02
Rotate Fun Club,Taiwan,1,0.55,91,8.53
Rubasse Coffee Roaster,Taiwan,1,0.7,92,11.95
Rusty Dog Coffee,United States,2,0.6,93,5.365
Rusty's Hawaiian,Hawai'i,5,0.63,93.2,12.566
Rusty's Hawaiian Coffee,Hawai'i,1,0.7,93,12.35
Rusty’s Hawaiian,Hawai'i,1,0.5,95,22.05
SOT Coffee Roaster,Japan,4,0.6124999999999999,95,20.740000000000002
Samlin Coffee,Taiwan,2,0.675,93,7.04
San Francisco Bay Coffee,United States,9,0.5888888888888889,90.11111111111111,4.588888888888889
San Francisco Bay Coffee Company,United States,1,0.55,95,13.52
Santos Coffee,Hawai'i,2,0.6000000000000001,93.5,3.915
Satur Specialty Coffee,Taiwan,3,0.6333333333333333,93.33333333333333,5.733333333333333
Sightseer Coffee,United States,1,0.6,92,5.88
Signature Reserve,United States,1,0.6,90,3.32
Simon Hsieh Aroma Roast Coffees,Taiwan,11,0.5045454545454545,94.63636363636364,22.78090909090909
Simon Hsieh's Aroma Roast Coffees,Taiwan,4,0.5125,94,10.7975
Simon Hsieh’s Aroma Roast Coffees,Taiwan,7,0.5428571428571429,94.28571428571429,15.17
Singsun Coffee,Taiwan,2,0.625,93.5,13.23
Sip of Hope Community Coffee Roasters,United States,1,0.55,92,5.29
SkyTop Coffee,United States,16,0.59375,92.875,5.88875
Small Eyes Cafe,Taiwan,17,0.6058823529411764,93.29411764705883,7.355882352941176
Small Eyes Café,Taiwan,1,0.6,95,4.96
Soul Work Coffee,United States,4,0.625,91.75,6.355
South Slope Coffee Roasters,United States,1,0.65,92,5.29
Southeastern Roastery,United States,1,0.65,93,5.29
Souvenir Coffee,United States,4,0.575,93.25,5.51
Speckled Ax,United States,5,0.67,92.8,6.116
Speedwell Coffee,United States,2,0.55,92,4.85
Spirit Animal Coffee,Honduras,1,0.6,92,11.46
Spix's Cafe,Taiwan,1,0.65,93,4.81
St1 Cafe/Work Room,Taiwan,2,0.625,93.5,9.225
Starbucks Coffee,United States,3,0.4666666666666667,87,3.276666666666667
States Coffee,United States,6,0.5833333333333334,93.5,5.29
States Coffee & Mercantile,United States,6,0.6,93.33333333333333,5.29
Steadfast Coffee,United States,1,0.65,92,6.76
Steady State Roasting,United States,2,0.55,93.5,7.79
Steady State Roasting Company,United States,5,0.67,92.8,6.67
Stereo Coffee Roasters,Canada,2,0.7250000000000001,94,5.265000000000001
Succulent Coffee Roasters,United States,1,0.6,93,5
Sunny's Coffee,Japan,6,0.6083333333333334,91.5,9.05
Sweet Bloom Coffee Roasters,United States,1,0.75,93,5.88
Swelter Coffee,United States,1,0.55,93,5.29
T.S.E. Custom Roastery,Taiwan,1,0.7,94,4.93
Tandem Coffee,United States,1,0.6,93,5.29
Taokas Coffee,Taiwan,1,0.65,95,6.02
Taster's Coffee,Taiwan,6,0.5666666666666667,93.5,6.6066666666666665
Taster’s Coffee,Taiwan,2,0.625,95,18.83
Tehmag Foods Corporation,Taiwan,1,0.4,92,2.68
Telluride Coffee Roasters,United States,2,0.5,88,3.875
Temple Coffee,United States,6,0.6583333333333333,93.16666666666667,6.395
Temple Coffee Roasters,United States,42,0.6154761904761905,92.85714285714286,5.968333333333334
Temple Coffee and Tea,United States,17,0.6470588235294118,92.47058823529412,7.27
Thanksgiving Coffee Company,United States,4,0.575,93,6.54
The Angry Roaster,Canada,1,0.8,94,9
The Curve Coffee Roasting,Taiwan,1,0.4,92,3.47
The Curve Coffee Roasting Co.,Taiwan,2,0.575,94,7.4350000000000005
The Formosa Coffee,United States,1,0.6,92,8.81
The Reverse Orangutan,United States,1,0.65,93,6.47
The WestBean Coffee Roasters,United States,3,0.5666666666666667,92,6.463333333333333
Theory Coffee Roasters,United States,1,0.6,94,24.25
Three Chairs Specialty Turkish Coffee,United States,1,0.65,92,14.11
Three Keys Coffee,United States,4,0.5875,92.5,5.585
Tico Coffee Roasters,United States,2,0.725,92,5.88
Tipico Coffee,United States,3,0.65,93.33333333333333,6.053333333333333
Toca Coffee,United States,1,0.55,91,4.69
Tony's Coffee,United States,2,0.575,92,3.9699999999999998
Topeca Coffee Roasters,United States,3,0.5333333333333333,92.33333333333333,4.6000000000000005
Treeman Coffee,Taiwan,2,0.45,92,4.8
Tribo Coffee,Taiwan,1,0.5,91,5
Trident Coffee,United States,2,0.47500000000000003,91,5.28
Triple Coffee Co.,United States,1,0.65,93,8.82
True Coffee Roasters,United States,3,0.6166666666666667,92,3.85
Tug Hill Artisan Roasters,United States,1,0.65,91,4.59
Turnstile Coffee Roasters,United States,1,0.65,94,6.61
VERYTIME,Taiwan,7,0.5714285714285714,92.85714285714286,6.877142857142857
VN Beans,United States,1,0.55,93,6.47
Valverde Coffee Roasters,United States,1,0.65,92,5.64
Vascobelo,Belgium,1,0.4,90,3.02
Vennel Coffee,Taiwan,3,0.6166666666666667,94,8.456666666666667
Vermont Artisan Coffee & Tea,United States,1,0.65,94,5.29
Vienna Coffee Company,United States,2,0.575,91.5,4.775
Vivid Coffee,United States,1,0.55,92,6.61
Volcanica Coffee,United States,1,0.8,94,3.97
Warm Air Kafe,Taiwan,4,0.575,92.75,4.87
Water Avenue Coffee,United States,1,0.7,94,4.12
Water Street Coffee,United States,1,0.65,91,4.91
Wheelys Cafe Taiwan,Taiwan,2,0.45,91.5,6.21
Wheelys Café Taiwan,Taiwan,1,0.6,93,6.08
Wild Goose Coffee Roasters,United States,1,0.75,92,5.29
Wildgoose Coffee Roasters,United States,1,0.75,93,6.17
Willoughby's Coffee & Tea,United States,17,0.6264705882352941,93.58823529411765,12.122352941176471
Wonderstate Coffee,United States,12,0.6333333333333333,92.75,5.975833333333333
Yellow Brick Coffee,United States,2,0.6,93.5,5.585
inLove Cafe,Taiwan,1,0.6,92,12.63
modcup coffee,United States,17,0.5735294117647058,93.70588235294117,11.359411764705882
